,Unnamed: 0,year,species,port,county,weight_type,weight,value,number_harvesters,price_per_lb
1127,1127,2011,Lobster American,Lubec,Washington,Live Pounds,223461.25,845784.221,30,3.784925668
1128,1128,2011,Lobster American,Machiasport,Washington,Live Pounds,1089959.62,3131018.635,48,2.872600579
1129,1129,2011,Lobster American,Milbridge,Washington,Live Pounds,2509756.6,7943347.59,112,3.16498723
1130,1130,2011,Lobster American,Monhegan,Lincoln,Live Pounds,63478.27,250163.17,11,3.940926084
1131,1131,2011,Lobster American,New Harbor,Lincoln,Live Pounds,1048239.5,3162010.795,48,3.016496512
1132,1132,2011,Lobster American,Ogunquit,York,Live Pounds,268047.61,974035.295,15,3.633814512
1133,1133,2011,Lobster American,Other Cumberland,Cumberland,Live Pounds,73656.1,264950.775,3,3.597132824
1134,1134,2011,Lobster American,Other Maine,Not-Specified,Live Pounds,11414532.54,36936692.37,620,3.235935615
1135,1135,2011,Lobster American,Owls Head,Knox,Live Pounds,2039086.67,6791522.32,49,3.330668784
1136,1136,2011,Lobster American,Pemaquid,Lincoln,Live Pounds,248966.5,794349.92,29,3.190589577
1137,1137,2011,Lobster American,Penobscot,Hancock,Live Pounds,13049.0,44476.631,4,3.40843214
1138,1138,2011,Lobster American,Phippsburg,Sagadahoc,Live Pounds,413174.73,1527567.404,34,3.697146251
1139,1139,2011,Lobster American,Pine Point,Cumberland,Live Pounds,10820.45,35805.0,5,3.309012102
1140,1140,2011,Lobster American,Port Clyde,Knox,Live Pounds,2512218.5,7468168.08,137,2.972738271
1141,1141,2011,Lobster American,Portland,Cumberland,Live Pounds,3200965.23,11114827.89,199,3.47233634
1142,1142,2011,Lobster American,Prospect Harbor,Hancock,Live Pounds,697689.0,2328791.225,58,3.337864328
1143,1143,2011,Lobster American,Rockland,Knox,Live Pounds,5365558.74,18647636.7,297,3.475432402
